chr	ptel	cen_start	cen	cen_end	qtel
1	10000	121535434	123035434	124535434	249240621
2	10000	92326171	93826171	95326171	243189373
3	10000	90504854	92004854	93504854	198012430
4	10000	49660117	51160117	52660117	191144276
5	10000	46405641	47905641	49405641	180905260
6	10000	58830166	60330166	61830166	171105067
7	10000	58054331	59554331	61054331	159128663
8	10000	43793000	45338887	46857000	146354022
9	10000	47367679	48867679	50367679	141203431
10	10000	39254935	40754935	42254935	135524747
11	10000	51644205	53144205	54644205	134996516
12	10000	34856694	36356694	37856694	133841895
13	10000	16000000	17500000	19000000	115159878
14	10000	16000000	17500000	19000000	107339540
15	10000	17000000	18500000	20000000	102521392
16	10000	35335801	36835801	38335801	90344753
17	10000	22263006	23763006	25263006	22263006
18	10000	15460898	16960898	18460898	78067248
19	10000	24681782	26181782	27681782	59118983
20	10000	26369569	27869569	29369569	63015520
21	10000	11288129	12788129	14288129	48119895
22	10000	13000000	14500000	16000000	51294566
X	10000	58500001	60132012	61730000	155260560
Y	10000	10104553	60132012	13104553	59363566
