chr	ptel	cen_start	cen	cen_end	qtel
#1	 750000	121270001	144840000	249220001# chr 1: ...
1	750000	121270001	123035434	150000000	249220001# ... q-side of centromere manually set
2	10000	89330001	93826171	95390000	242950001# chr 2
3	60000	90500001	92004854	93510000	197820001# chr 3
4	40000	49090001	51160117	52680001	190910001# chr 4
5	10000	46400001	47905641	49440000	180720001# chr 5
6	200000	58770001	60330166	61880000	170920001# chr 6
7	80000	58050001	59554331	61980000	159130001# chr 7
8	160000	43790001	45338887	46880000	146300001# chr 8
9	200000	38770001	48867679	70990000	141090001# chr 9
10	100000	39150001	40754935	42400000	135230001# chr 10
11	190000	51580001	53144205	54800000	134940001# chr 11
12	180000	34850001	36356694	37860000	133840001# chr 12
13	0	0	17500000	19360000	115110001# chr 13
14	0	0	17500000	20190000	107290001# chr 14
15	0	0	18500000	20030000	102280001# chr 15
16	80000	35240001	36835801	46490000	90160001# chr 16
17	0	22240001	23763006	25270000	81110001# chr 17
18	130000	15410001	16960898	18540000	78010001# chr 18
19	250000	24600001	26181782	27740000	59100001# chr 19
20	120000	26290001	27869569	29420000	62920001# chr 20
21	0	0	12788129	14340000	48100001# chr 21 - don't use the p-arm data
22	0	0	14500000	16850000	51200001# chr 22
X	310000	58500001	60132012	61730000	155240001# chr X
